IC_L_7: t= 0.10, L= 403.00, L_straight= 401.12, slack=  1.88, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  0.05), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.80, L= 403.00, L_straight= 401.68, slack=  1.32, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.08), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.90, L= 403.00, L_straight= 401.71, slack=  1.29, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.08), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.00, L= 403.00, L_straight= 401.73, slack=  1.27, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.09), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.10, L= 403.00, L_straight= 401.76, slack=  1.24, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.09), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.20, L= 403.00, L_straight= 401.78, slack=  1.22, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 403.00, L_straight= 401.81, slack=  1.19, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.40, L= 403.00, L_straight= 401.84, slack=  1.16, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.10), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 403.00, L_straight= 401.86, slack=  1.14, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 403.00, L_straight= 401.89, slack=  1.11, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 403.00, L_straight= 401.91, slack=  1.09, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 403.00, L_straight= 401.94, slack=  1.06, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 403.00, L_straight= 401.96, slack=  1.04, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 403.00, L_straight= 401.99, slack=  1.01, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 403.00, L_straight= 402.01, slack=  0.99, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.20, L= 403.00, L_straight= 402.04, slack=  0.96, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.30, L= 403.00, L_straight= 402.07, slack=  0.93, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.40, L= 403.00, L_straight= 402.09, slack=  0.91, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.50, L= 403.00, L_straight= 402.12, slack=  0.88, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.60, L= 403.00, L_straight= 402.14, slack=  0.86, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 403.00, L_straight= 402.17, slack=  0.83, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 403.00, L_straight= 402.19, slack=  0.81, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 403.00, L_straight= 402.22, slack=  0.78, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 403.00, L_straight= 402.24, slack=  0.76, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
[SCEN] t=5.10 scen=Fy crit=(t>5:-2) T_bat=0.008337781180859672 y=-401.15 x=29.99 L=403.00
IC_L_7: t= 5.10, L= 403.00, L_straight= 402.27, slack=  0.73, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.11), Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 403.00, L_straight= 402.30, slack=  0.70, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.21), Fy_cmd= -2.00, desired=  0.20, ret=  0.02, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.30, L= 403.00, L_straight= 402.32, slack=  0.68, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.39), Fy_cmd= -2.00, desired=  0.40, ret=  0.06, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.40, L= 403.01, L_straight= 402.35, slack=  0.66, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.53), Fy_cmd= -2.00, desired=  0.60, ret=  0.11, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.50, L= 403.02, L_straight= 402.38, slack=  0.64, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.64), Fy_cmd= -2.00, desired=  0.80, ret=  0.18, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.60, L= 403.04, L_straight= 402.40, slack=  0.63, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.73), Fy_cmd= -2.00, desired=  1.00, ret=  0.26, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.70, L= 403.06, L_straight= 402.43, slack=  0.63, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.81), Fy_cmd= -2.00, desired=  1.00, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.80, L= 403.10, L_straight= 402.46, slack=  0.64, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.86), Fy_cmd= -2.00, desired=  1.00, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.90, L= 403.14, L_straight= 402.49, slack=  0.65, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.91), Fy_cmd= -2.00, desired=  1.00, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.00, L= 403.18, L_straight= 402.52, slack=  0.67, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.95), Fy_cmd= -2.00, desired=  1.00, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.10, L= 403.24, L_straight= 402.54, slack=  0.69, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  4.98), Fy_cmd= -2.00, desired=  0.99, ret=  0.56, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.20, L= 403.29, L_straight= 402.57, slack=  0.72, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.00), Fy_cmd= -2.00, desired=  0.97, ret=  0.60, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.30, L= 403.35, L_straight= 402.60, slack=  0.75, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.02), Fy_cmd= -2.00, desired=  0.95, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.40, L= 403.42, L_straight= 402.63, slack=  0.79, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.03), Fy_cmd= -2.00, desired=  0.93, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.50, L= 403.48, L_straight= 402.66, slack=  0.83, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.04), Fy_cmd= -2.00, desired=  0.91, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.60, L= 403.55, L_straight= 402.69, slack=  0.87, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.05), Fy_cmd= -2.00, desired=  0.88, ret=  0.71, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.70, L= 403.62, L_straight= 402.71, slack=  0.91, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.06), Fy_cmd= -2.00, desired=  0.86, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.80, L= 403.70, L_straight= 402.74, slack=  0.95, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.06), Fy_cmd= -2.00, desired=  0.83, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.90, L= 403.77, L_straight= 402.77, slack=  1.00, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.07), Fy_cmd= -2.00, desired=  0.80, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.00, L= 403.84, L_straight= 402.80, slack=  1.04, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.07), Fy_cmd= -2.00, desired=  0.78, ret=  0.75, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.10, L= 403.92, L_straight= 402.83, slack=  1.09, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.75, ret=  0.75, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.20, L= 403.99, L_straight= 402.86, slack=  1.14, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.72, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.30, L= 404.07, L_straight= 402.88, slack=  1.18, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.70, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.40, L= 404.14, L_straight= 402.91, slack=  1.23, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.08), Fy_cmd= -2.00, desired=  0.67, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.50, L= 404.21, L_straight= 402.94, slack=  1.27, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.64, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.60, L= 404.29, L_straight= 402.97, slack=  1.32, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.62, ret=  0.71, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.70, L= 404.36, L_straight= 403.00, slack=  1.36, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.59, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.80, L= 404.43, L_straight= 403.03, slack=  1.40, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.57, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.90, L= 404.50, L_straight= 403.06, slack=  1.44, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.54, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.00, L= 404.56, L_straight= 403.08, slack=  1.48, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.52, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.10, L= 404.63, L_straight= 403.11, slack=  1.52, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.50, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.20, L= 404.69, L_straight= 403.14, slack=  1.55, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.47, ret=  0.62, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.30, L= 404.76, L_straight= 403.17, slack=  1.59, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.09), Fy_cmd= -2.00, desired=  0.45, ret=  0.61, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.40, L= 404.82, L_straight= 403.20, slack=  1.62, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.44, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.50, L= 404.88, L_straight= 403.23, slack=  1.65, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.42, ret=  0.57, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.60, L= 404.93, L_straight= 403.25, slack=  1.68, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.40, ret=  0.56, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.70, L= 404.99, L_straight= 403.28, slack=  1.71, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.38, ret=  0.54, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.80, L= 405.04, L_straight= 403.31, slack=  1.73, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.37, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.90, L= 405.10, L_straight= 403.34, slack=  1.76, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.36, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.00, L= 405.15, L_straight= 403.37, slack=  1.78, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.10, L= 405.20, L_straight= 403.40, slack=  1.80, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.20, L= 405.24, L_straight= 403.42, slack=  1.82, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.30, L= 405.29, L_straight= 403.45, slack=  1.84, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.40, L= 405.34, L_straight= 403.48, slack=  1.86, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.50, L= 405.38, L_straight= 403.51, slack=  1.87, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.60, L= 405.43, L_straight= 403.54, slack=  1.89, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.70, L= 405.47, L_straight= 403.57, slack=  1.91, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.80, L= 405.52, L_straight= 403.60, slack=  1.92, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.10), Fy_cmd= -2.00, desired=  0.39, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 9.90, L= 405.56, L_straight= 403.62, slack=  1.94, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.00, L= 405.61, L_straight= 403.65, slack=  1.95, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.10, L= 405.65, L_straight= 403.68, slack=  1.97, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.20, L= 405.69, L_straight= 403.71, slack=  1.98, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.30, L= 405.73, L_straight= 403.74, slack=  2.00, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.40, L= 405.77, L_straight= 403.77, slack=  2.01, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.50, L= 405.82, L_straight= 403.79, slack=  2.02, T_bat= 0.01, T_rov= 0.26, F_drag_cable=( 0.00,  5.11), Fy_cmd= -2.00, desired=  0.39, ret=  0.41, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
