[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=500.00
IC_L_7: t= 0.10, L= 500.00, L_straight= 500.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.20, L= 501.29, L_straight= 500.05, slack=  1.24, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.17), Fy_cmd=-10.00, desired=  0.80, ret=  0.85, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.30, L= 501.38, L_straight= 500.05, slack=  1.33, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.18), Fy_cmd=-10.00, desired=  0.76, ret=  0.84, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.40, L= 501.46, L_straight= 500.05, slack=  1.41, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.20), Fy_cmd=-10.00, desired=  0.73, ret=  0.83, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.50, L= 501.54, L_straight= 500.06, slack=  1.48, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.21), Fy_cmd=-10.00, desired=  0.69, ret=  0.82, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.60, L= 501.62, L_straight= 500.06, slack=  1.56, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.22), Fy_cmd=-10.00, desired=  0.65, ret=  0.80, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.70, L= 501.70, L_straight= 500.07, slack=  1.64, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.23), Fy_cmd=-10.00, desired=  0.62, ret=  0.78, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.80, L= 501.78, L_straight= 500.07, slack=  1.71, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.25), Fy_cmd=-10.00, desired=  0.58, ret=  0.76, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.90, L= 501.86, L_straight= 500.08, slack=  1.78, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.26), Fy_cmd=-10.00, desired=  0.55, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.00, L= 501.93, L_straight= 500.08, slack=  1.85, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.27), Fy_cmd=-10.00, desired=  0.51, ret=  0.72, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.10, L= 502.00, L_straight= 500.09, slack=  1.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.28), Fy_cmd=-10.00, desired=  0.48, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.20, L= 502.07, L_straight= 500.09, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.29), Fy_cmd=-10.00, desired=  0.45, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.30, L= 502.14, L_straight= 500.10, slack=  2.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.30), Fy_cmd=-10.00, desired=  0.42, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.40, L= 502.20, L_straight= 500.10, slack=  2.10, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.31), Fy_cmd=-10.00, desired=  0.39, ret=  0.62, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.50, L= 502.27, L_straight= 500.11, slack=  2.16, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.32), Fy_cmd=-10.00, desired=  0.37, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.60, L= 502.33, L_straight= 500.12, slack=  2.21, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.33), Fy_cmd=-10.00, desired=  0.34, ret=  0.57, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.70, L= 502.38, L_straight= 500.12, slack=  2.26, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.34), Fy_cmd=-10.00, desired=  0.32, ret=  0.54, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.80, L= 502.44, L_straight= 500.13, slack=  2.31, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.35), Fy_cmd=-10.00, desired=  0.29, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.90, L= 502.49, L_straight= 500.13, slack=  2.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.36), Fy_cmd=-10.00, desired=  0.27, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.00, L= 502.54, L_straight= 500.14, slack=  2.40, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.37), Fy_cmd=-10.00, desired=  0.25, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.10, L= 502.58, L_straight= 500.15, slack=  2.44, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-10.00, desired=  0.23, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.20, L= 502.63, L_straight= 500.15, slack=  2.48, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-10.00, desired=  0.21, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.30, L= 502.67, L_straight= 500.16, slack=  2.51, T_bat= 0.59, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-10.00, desired=  0.20, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.40, L= 502.71, L_straight= 500.16, slack=  2.55, T_bat= 0.72, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-10.00, desired=  0.20, ret=  0.38, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.50, L= 502.75, L_straight= 500.17, slack=  2.58, T_bat= 0.74, T_rov= 0.50, F_drag_cable=( 0.00,  0.41), Fy_cmd=-10.00, desired=  0.20, ret=  0.36, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.60, L= 502.78, L_straight= 500.18, slack=  2.61, T_bat= 0.75, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-10.00, desired=  0.20, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.70, L= 502.82, L_straight= 500.18, slack=  2.64, T_bat= 0.75, T_rov= 0.50, F_drag_cable=( 0.00,  0.42), Fy_cmd=-10.00, desired=  0.20, ret=  0.33, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.80, L= 502.85, L_straight= 500.19, slack=  2.66, T_bat= 0.76, T_rov= 0.50, F_drag_cable=( 0.00,  0.43), Fy_cmd=-10.00, desired=  0.20, ret=  0.32, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.90, L= 502.88, L_straight= 500.20, slack=  2.69, T_bat= 0.76, T_rov= 0.50, F_drag_cable=( 0.00,  0.43), Fy_cmd=-10.00, desired=  0.20, ret=  0.31, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.00, L= 502.91, L_straight= 500.20, slack=  2.71, T_bat= 0.76, T_rov= 0.50, F_drag_cable=( 0.00,  0.44), Fy_cmd=-10.00, desired=  0.20, ret=  0.30, exp=PILOT_DESC_ADD_SLACK_ACC
[SCEN] t=5.10 scen=Fy crit=(t>5:-29) T_bat=0.7669192723335968 y=-500.21 x=0.00 L=502.94
IC_L_7: t= 5.10, L= 502.94, L_straight= 500.21, slack=  2.74, T_bat= 0.77, T_rov= 0.50, F_drag_cable=( 0.00,  0.45), Fy_cmd=-10.00, desired=  0.20, ret=  0.29, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.20, L= 502.97, L_straight= 500.22, slack=  2.76, T_bat= 0.77, T_rov= 0.50, F_drag_cable=( 0.00,  0.45), Fy_cmd=-29.00, desired=  0.20, ret=  0.28, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.30, L= 503.00, L_straight= 500.23, slack=  2.77, T_bat= 1.27, T_rov= 0.50, F_drag_cable=( 0.00,  2.57), Fy_cmd=-29.00, desired=  0.29, ret=  0.28, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.40, L= 503.03, L_straight= 500.25, slack=  2.78, T_bat= 2.09, T_rov= 0.50, F_drag_cable=( 0.00,  4.49), Fy_cmd=-29.00, desired=  0.34, ret=  0.28, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.50, L= 503.06, L_straight= 500.28, slack=  2.78, T_bat= 3.45, T_rov= 0.50, F_drag_cable=( 0.00,  6.52), Fy_cmd=-29.00, desired=  0.39, ret=  0.29, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.60, L= 503.09, L_straight= 500.30, slack=  2.78, T_bat= 5.11, T_rov= 0.50, F_drag_cable=( 0.00,  7.51), Fy_cmd=-29.00, desired=  0.43, ret=  0.31, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.70, L= 503.12, L_straight= 500.34, slack=  2.78, T_bat= 8.42, T_rov= 0.50, F_drag_cable=( 0.00,  10.30), Fy_cmd=-29.00, desired=  0.48, ret=  0.32, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.80, L= 503.15, L_straight= 500.37, slack=  2.78, T_bat= 11.22, T_rov= 0.50, F_drag_cable=( 0.00,  11.63), Fy_cmd=-29.00, desired=  0.53, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 5.90, L= 503.18, L_straight= 500.40, slack=  2.78, T_bat= 12.43, T_rov= 0.50, F_drag_cable=( 0.00,  12.67), Fy_cmd=-29.00, desired=  0.57, ret=  0.37, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.00, L= 503.22, L_straight= 500.44, slack=  2.78, T_bat= 13.22, T_rov= 0.50, F_drag_cable=( 0.00,  13.48), Fy_cmd=-29.00, desired=  0.60, ret=  0.39, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.10, L= 503.26, L_straight= 500.48, slack=  2.78, T_bat= 13.80, T_rov= 0.50, F_drag_cable=( 0.00,  14.08), Fy_cmd=-29.00, desired=  0.63, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.20, L= 503.30, L_straight= 500.51, slack=  2.79, T_bat= 14.22, T_rov= 0.50, F_drag_cable=( 0.00,  14.53), Fy_cmd=-29.00, desired=  0.66, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.30, L= 503.35, L_straight= 500.55, slack=  2.79, T_bat= 14.54, T_rov= 0.50, F_drag_cable=( 0.00,  14.86), Fy_cmd=-29.00, desired=  0.68, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.40, L= 503.39, L_straight= 500.59, slack=  2.80, T_bat= 14.76, T_rov= 0.50, F_drag_cable=( 0.00,  15.10), Fy_cmd=-29.00, desired=  0.69, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.50, L= 503.44, L_straight= 500.63, slack=  2.81, T_bat= 14.93, T_rov= 0.50, F_drag_cable=( 0.00,  15.28), Fy_cmd=-29.00, desired=  0.70, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.60, L= 503.49, L_straight= 500.67, slack=  2.82, T_bat= 15.04, T_rov= 0.50, F_drag_cable=( 0.00,  15.40), Fy_cmd=-29.00, desired=  0.71, ret=  0.53, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.70, L= 503.54, L_straight= 500.71, slack=  2.84, T_bat= 15.13, T_rov= 0.50, F_drag_cable=( 0.00,  15.49), Fy_cmd=-29.00, desired=  0.72, ret=  0.55, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.80, L= 503.60, L_straight= 500.75, slack=  2.85, T_bat= 15.19, T_rov= 0.50, F_drag_cable=( 0.00,  15.56), Fy_cmd=-29.00, desired=  0.72, ret=  0.56, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 6.90, L= 503.65, L_straight= 500.78, slack=  2.87, T_bat= 15.23, T_rov= 0.50, F_drag_cable=( 0.00,  15.61), Fy_cmd=-29.00, desired=  0.73, ret=  0.58, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.00, L= 503.71, L_straight= 500.82, slack=  2.89, T_bat= 15.25, T_rov= 0.50, F_drag_cable=( 0.00,  15.64), Fy_cmd=-29.00, desired=  0.73, ret=  0.60, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.10, L= 503.77, L_straight= 500.86, slack=  2.91, T_bat= 15.27, T_rov= 0.50, F_drag_cable=( 0.00,  15.67), Fy_cmd=-29.00, desired=  0.73, ret=  0.61, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.20, L= 503.83, L_straight= 500.90, slack=  2.93, T_bat= 15.28, T_rov= 0.50, F_drag_cable=( 0.00,  15.69), Fy_cmd=-29.00, desired=  0.73, ret=  0.62, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.30, L= 503.90, L_straight= 500.94, slack=  2.96, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.70), Fy_cmd=-29.00, desired=  0.73, ret=  0.63, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.40, L= 503.96, L_straight= 500.98, slack=  2.98, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.71), Fy_cmd=-29.00, desired=  0.73, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.50, L= 504.02, L_straight= 501.02, slack=  3.01, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.72), Fy_cmd=-29.00, desired=  0.74, ret=  0.65, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.60, L= 504.09, L_straight= 501.06, slack=  3.03, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.73), Fy_cmd=-29.00, desired=  0.74, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.70, L= 504.15, L_straight= 501.10, slack=  3.06, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.73), Fy_cmd=-29.00, desired=  0.74, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.80, L= 504.22, L_straight= 501.13, slack=  3.09, T_bat= 15.29, T_rov= 0.50, F_drag_cable=( 0.00,  15.74), Fy_cmd=-29.00, desired=  0.74, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 7.90, L= 504.29, L_straight= 501.17, slack=  3.12, T_bat= 15.28, T_rov= 0.50, F_drag_cable=( 0.00,  15.74), Fy_cmd=-29.00, desired=  0.74, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.00, L= 504.36, L_straight= 501.21, slack=  3.14, T_bat= 15.27, T_rov= 0.50, F_drag_cable=( 0.00,  15.74), Fy_cmd=-29.00, desired=  0.74, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.10, L= 504.43, L_straight= 501.25, slack=  3.17, T_bat= 15.27, T_rov= 0.50, F_drag_cable=( 0.00,  15.75), Fy_cmd=-29.00, desired=  0.74, ret=  0.69, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.20, L= 504.49, L_straight= 501.29, slack=  3.20, T_bat= 15.26, T_rov= 0.50, F_drag_cable=( 0.00,  15.75), Fy_cmd=-29.00, desired=  0.74, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.30, L= 504.56, L_straight= 501.33, slack=  3.24, T_bat= 15.26, T_rov= 0.50, F_drag_cable=( 0.00,  15.75), Fy_cmd=-29.00, desired=  0.74, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 8.40, L= 504.63, L_straight= 501.37, slack=  3.27, T_bat= 15.25, T_rov= 0.50, F_drag_cable=( 0.00,  15.75), Fy_cmd=-29.00, desired=  0.74, ret=  0.70, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.50, L= 504.70, L_straight= 501.41, slack=  3.30, T_bat= 15.24, T_rov= 0.50, F_drag_cable=( 0.00,  15.76), Fy_cmd=-29.00, desired=  0.74, ret=  0.71, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.60, L= 504.78, L_straight= 501.45, slack=  3.33, T_bat= 15.23, T_rov= 0.50, F_drag_cable=( 0.00,  15.76), Fy_cmd=-29.00, desired=  0.74, ret=  0.71, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.70, L= 504.85, L_straight= 501.48, slack=  3.36, T_bat= 15.23, T_rov= 0.50, F_drag_cable=( 0.00,  15.76), Fy_cmd=-29.00, desired=  0.74, ret=  0.71, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.80, L= 504.92, L_straight= 501.52, slack=  3.39, T_bat= 15.22, T_rov= 0.50, F_drag_cable=( 0.00,  15.76), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.90, L= 504.99, L_straight= 501.56, slack=  3.43, T_bat= 15.21, T_rov= 0.50, F_drag_cable=( 0.00,  15.77), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.00, L= 505.06, L_straight= 501.60, slack=  3.46, T_bat= 15.20, T_rov= 0.50, F_drag_cable=( 0.00,  15.77), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.10, L= 505.13, L_straight= 501.64, slack=  3.49, T_bat= 15.20, T_rov= 0.50, F_drag_cable=( 0.00,  15.77), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.20, L= 505.20, L_straight= 501.68, slack=  3.53, T_bat= 15.19, T_rov= 0.50, F_drag_cable=( 0.00,  15.77), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.30, L= 505.28, L_straight= 501.72, slack=  3.56, T_bat= 15.18, T_rov= 0.50, F_drag_cable=( 0.00,  15.78), Fy_cmd=-29.00, desired=  0.74, ret=  0.72, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.40, L= 505.35, L_straight= 501.76, slack=  3.59, T_bat= 15.17, T_rov= 0.50, F_drag_cable=( 0.00,  15.78), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.50, L= 505.42, L_straight= 501.80, slack=  3.63, T_bat= 15.16, T_rov= 0.50, F_drag_cable=( 0.00,  15.78), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.60, L= 505.49, L_straight= 501.83, slack=  3.66, T_bat= 15.16, T_rov= 0.50, F_drag_cable=( 0.00,  15.78), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.70, L= 505.57, L_straight= 501.87, slack=  3.69, T_bat= 15.15, T_rov= 0.50, F_drag_cable=( 0.00,  15.78), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.80, L= 505.64, L_straight= 501.91, slack=  3.73, T_bat= 15.14, T_rov= 0.50, F_drag_cable=( 0.00,  15.79), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 9.90, L= 505.71, L_straight= 501.95, slack=  3.76, T_bat= 15.13, T_rov= 0.50, F_drag_cable=( 0.00,  15.79), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 10.00, L= 505.79, L_straight= 501.99, slack=  3.80, T_bat= 15.12, T_rov= 0.50, F_drag_cable=( 0.00,  15.79), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-30) T_bat=15.115566415781565 y=-502.03 x=0.00 L=505.86
IC_L_7: t= 10.10, L= 505.86, L_straight= 502.03, slack=  3.83, T_bat= 15.12, T_rov= 0.50, F_drag_cable=( 0.00,  15.79), Fy_cmd=-29.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 10.20, L= 505.93, L_straight= 502.07, slack=  3.86, T_bat= 15.23, T_rov= 0.50, F_drag_cable=( 0.00,  15.92), Fy_cmd=-30.00, desired=  0.74, ret=  0.73, exp=PILOT_DESC_MINPAY_ACC
