[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=0.10, L= 110.00, est_dT_dL=   0.00, y_rov=-100.00, vy_rov= -0.01, T=0.81, prev_cmd=  0.00, ret1= -0.02, ret= -0.02, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired= -0.20, exp=REG_SIGN_ACC
AUTO_L_6: t=1.20, L= 109.99, est_dT_dL=-1832.46, y_rov=-100.59, vy_rov= -0.67, T=21.68, prev_cmd= -0.01, ret1= -0.00, ret= -0.00, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.30, L= 109.99, est_dT_dL=-1790.25, y_rov=-100.66, vy_rov= -0.67, T=21.76, prev_cmd= -0.00, ret1= -0.00, ret= -0.00, dL_dt= -0.00, dt=  0.10, Gamma=  0.50, desired=  0.00, exp=REG_T_ACC
AUTO_L_6: t=1.40, L= 109.99, est_dT_dL=-1535.25, y_rov=-100.73, vy_rov= -0.67, T=21.81, prev_cmd= -0.00, ret1= -0.00, ret= -0.00, dL_dt= -0.00, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=1.50, L= 109.99, est_dT_dL=-1205.41, y_rov=-100.79, vy_rov= -0.67, T=21.83, prev_cmd= -0.00, ret1= -0.00, ret= -0.00, dL_dt= -0.00, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=1.60, L= 109.99, est_dT_dL=-899.75, y_rov=-100.86, vy_rov= -0.67, T=21.85, prev_cmd= -0.00, ret1= -0.00, ret= -0.00, dL_dt= -0.00, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=1.70, L= 109.99, est_dT_dL=-660.79, y_rov=-100.93, vy_rov= -0.67, T=21.86, prev_cmd= -0.00, ret1=  0.00, ret=  0.00, dL_dt= -0.00, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=1.80, L= 109.99, est_dT_dL=-496.13, y_rov=-101.00, vy_rov= -0.67, T=21.86, prev_cmd=  0.00, ret1=  0.00, ret=  0.00, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired=  0.02, exp=REG_T_ACC
AUTO_L_6: t=1.90, L= 109.99, est_dT_dL=-404.02, y_rov=-101.06, vy_rov= -0.67, T=21.86, prev_cmd=  0.00, ret1=  0.00, ret=  0.00, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired=  0.02, exp=REG_T_ACC
AUTO_L_6: t=2.00, L= 109.99, est_dT_dL=-412.81, y_rov=-101.13, vy_rov= -0.67, T=21.87, prev_cmd=  0.00, ret1=  0.01, ret=  0.01, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired=  0.02, exp=REG_T_ACC
AUTO_L_6: t=2.10, L= 109.99, est_dT_dL=-1409.06, y_rov=-101.20, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1=  0.01, ret=  0.01, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.20, L= 109.99, est_dT_dL= 218.90, y_rov=-101.27, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1=  0.00, ret=  0.00, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired= -0.04, exp=REG_T_ACC
AUTO_L_6: t=2.30, L= 109.99, est_dT_dL=  74.10, y_rov=-101.33, vy_rov= -0.67, T=21.87, prev_cmd=  0.00, ret1= -0.01, ret= -0.01, dL_dt=  0.00, dt=  0.10, Gamma=  0.50, desired= -0.11, exp=REG_T_ACC
AUTO_L_6: t=2.40, L= 109.99, est_dT_dL=  78.38, y_rov=-101.40, vy_rov= -0.67, T=21.87, prev_cmd= -0.01, ret1= -0.02, ret= -0.02, dL_dt= -0.01, dt=  0.10, Gamma=  0.50, desired= -0.11, exp=REG_T_ACC
AUTO_L_6: t=2.50, L= 109.98, est_dT_dL= -32.42, y_rov=-101.47, vy_rov= -0.67, T=21.87, prev_cmd= -0.02, ret1=  0.01, ret=  0.01, dL_dt= -0.02, dt=  0.10, Gamma=  0.50, desired=  0.26, exp=REG_T_ACC
AUTO_L_6: t=2.60, L= 109.99, est_dT_dL=-694.25, y_rov=-101.53, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1=  0.01, ret=  0.01, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired=  0.01, exp=REG_T_ACC
AUTO_L_6: t=2.70, L= 109.99, est_dT_dL=  10.87, y_rov=-101.60, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1= -0.04, ret= -0.04, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired= -0.78, exp=REG_T_ACC
AUTO_L_6: t=2.80, L= 109.98, est_dT_dL=  -1.21, y_rov=-101.67, vy_rov= -0.67, T=21.87, prev_cmd= -0.04, ret1=  0.01, ret=  0.01, dL_dt= -0.04, dt=  0.10, Gamma=  0.50, desired=  6.94, exp=REG_T_ACC
AUTO_L_6: t=2.90, L= 109.98, est_dT_dL=  -0.39, y_rov=-101.74, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1=  0.06, ret=  0.06, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired= 21.85, exp=REG_T_ACC
AUTO_L_6: t=3.00, L= 109.99, est_dT_dL=   0.33, y_rov=-101.80, vy_rov= -0.67, T=21.87, prev_cmd=  0.06, ret1=  0.01, ret=  0.01, dL_dt=  0.06, dt=  0.10, Gamma=  0.50, desired=-25.56, exp=REG_T_ACC
AUTO_L_6: t=3.10, L= 109.99, est_dT_dL=   0.32, y_rov=-101.87, vy_rov= -0.67, T=21.87, prev_cmd=  0.01, ret1= -0.04, ret= -0.04, dL_dt=  0.01, dt=  0.10, Gamma=  0.50, desired=-26.03, exp=REG_T_ACC
AUTO_L_6: t=3.20, L= 109.99, est_dT_dL=   0.20, y_rov=-101.94, vy_rov= -0.67, T=21.87, prev_cmd= -0.04, ret1= -0.09, ret= -0.09, dL_dt= -0.04, dt=  0.10, Gamma=  0.50, desired=-41.62, exp=REG_T_ACC
AUTO_L_6: t=3.30, L= 109.98, est_dT_dL=   0.31, y_rov=-102.01, vy_rov= -0.67, T=21.86, prev_cmd= -0.09, ret1= -0.14, ret= -0.14, dL_dt= -0.09, dt=  0.10, Gamma=  0.50, desired=-27.59, exp=REG_T_ACC
AUTO_L_6: t=3.40, L= 109.96, est_dT_dL=   0.33, y_rov=-102.07, vy_rov= -0.67, T=21.86, prev_cmd= -0.14, ret1= -0.19, ret= -0.19, dL_dt= -0.14, dt=  0.10, Gamma=  0.50, desired=-25.67, exp=REG_T_ACC
AUTO_L_6: t=3.50, L= 109.94, est_dT_dL=   0.34, y_rov=-102.14, vy_rov= -0.67, T=21.85, prev_cmd= -0.19, ret1= -0.24, ret= -0.24, dL_dt= -0.19, dt=  0.10, Gamma=  0.50, desired=-24.83, exp=REG_T_ACC
AUTO_L_6: t=3.60, L= 109.92, est_dT_dL=   0.34, y_rov=-102.21, vy_rov= -0.67, T=21.84, prev_cmd= -0.24, ret1= -0.29, ret= -0.29, dL_dt= -0.24, dt=  0.10, Gamma=  0.50, desired=-24.78, exp=REG_T_ACC
AUTO_L_6: t=3.70, L= 109.89, est_dT_dL=   0.35, y_rov=-102.28, vy_rov= -0.67, T=21.83, prev_cmd= -0.29, ret1= -0.34, ret= -0.34, dL_dt= -0.29, dt=  0.10, Gamma=  0.50, desired=-24.26, exp=REG_T_ACC
AUTO_L_6: t=3.80, L= 109.86, est_dT_dL=   0.36, y_rov=-102.34, vy_rov= -0.67, T=21.82, prev_cmd= -0.34, ret1= -0.39, ret= -0.39, dL_dt= -0.34, dt=  0.10, Gamma=  0.50, desired=-23.51, exp=REG_T_ACC
AUTO_L_6: t=3.90, L= 109.82, est_dT_dL=   0.36, y_rov=-102.41, vy_rov= -0.67, T=21.81, prev_cmd= -0.39, ret1= -0.44, ret= -0.44, dL_dt= -0.39, dt=  0.10, Gamma=  0.50, desired=-23.55, exp=REG_T_ACC
AUTO_L_6: t=4.00, L= 109.77, est_dT_dL=   0.36, y_rov=-102.48, vy_rov= -0.67, T=21.79, prev_cmd= -0.44, ret1= -0.49, ret= -0.49, dL_dt= -0.44, dt=  0.10, Gamma=  0.50, desired=-23.51, exp=REG_T_ACC
AUTO_L_6: t=4.10, L= 109.72, est_dT_dL=   0.36, y_rov=-102.54, vy_rov= -0.67, T=21.77, prev_cmd= -0.49, ret1= -0.54, ret= -0.54, dL_dt= -0.49, dt=  0.10, Gamma=  0.50, desired=-23.07, exp=REG_T_ACC
AUTO_L_6: t=4.20, L= 109.67, est_dT_dL=   0.37, y_rov=-102.61, vy_rov= -0.67, T=21.75, prev_cmd= -0.54, ret1= -0.59, ret= -0.59, dL_dt= -0.54, dt=  0.10, Gamma=  0.50, desired=-22.72, exp=REG_T_ACC
AUTO_L_6: t=4.30, L= 109.61, est_dT_dL=   0.37, y_rov=-102.68, vy_rov= -0.67, T=21.73, prev_cmd= -0.59, ret1= -0.64, ret= -0.64, dL_dt= -0.59, dt=  0.10, Gamma=  0.50, desired=-22.46, exp=REG_T_ACC
AUTO_L_6: t=4.40, L= 109.55, est_dT_dL=   0.38, y_rov=-102.75, vy_rov= -0.67, T=21.70, prev_cmd= -0.64, ret1= -0.69, ret= -0.69, dL_dt= -0.64, dt=  0.10, Gamma=  0.50, desired=-22.27, exp=REG_T_ACC
AUTO_L_6: t=4.50, L= 109.48, est_dT_dL=   0.38, y_rov=-102.81, vy_rov= -0.67, T=21.68, prev_cmd= -0.69, ret1= -0.74, ret= -0.74, dL_dt= -0.69, dt=  0.10, Gamma=  0.50, desired=-22.11, exp=REG_T_ACC
AUTO_L_6: t=4.60, L= 109.40, est_dT_dL=   0.38, y_rov=-102.88, vy_rov= -0.67, T=21.65, prev_cmd= -0.74, ret1= -0.79, ret= -0.79, dL_dt= -0.74, dt=  0.10, Gamma=  0.50, desired=-21.98, exp=REG_T_ACC
AUTO_L_6: t=4.70, L= 109.32, est_dT_dL=   0.38, y_rov=-102.95, vy_rov= -0.67, T=21.62, prev_cmd= -0.79, ret1= -0.84, ret= -0.84, dL_dt= -0.79, dt=  0.10, Gamma=  0.50, desired=-21.86, exp=REG_T_ACC
AUTO_L_6: t=4.80, L= 109.24, est_dT_dL=   0.38, y_rov=-103.02, vy_rov= -0.67, T=21.59, prev_cmd= -0.84, ret1= -0.89, ret= -0.89, dL_dt= -0.84, dt=  0.10, Gamma=  0.50, desired=-21.77, exp=REG_T_ACC
AUTO_L_6: t=4.90, L= 109.15, est_dT_dL=   0.38, y_rov=-103.08, vy_rov= -0.67, T=21.55, prev_cmd= -0.89, ret1= -0.94, ret= -0.94, dL_dt= -0.89, dt=  0.10, Gamma=  0.50, desired=-21.68, exp=REG_T_ACC
AUTO_L_6: t=5.00, L= 109.06, est_dT_dL=   0.38, y_rov=-103.15, vy_rov= -0.67, T=21.52, prev_cmd= -0.94, ret1= -0.99, ret= -0.99, dL_dt= -0.94, dt=  0.10, Gamma=  0.50, desired=-21.60, exp=REG_T_ACC
AUTO_L_6: t=5.10, L= 108.96, est_dT_dL=   0.38, y_rov=-103.22, vy_rov= -0.67, T=21.48, prev_cmd= -0.99, ret1= -1.04, ret= -1.00, dL_dt= -0.99, dt=  0.10, Gamma=  0.50, desired=-21.53, exp=REG_T_ACC
AUTO_L_6: t=5.20, L= 108.86, est_dT_dL=   0.38, y_rov=-103.29, vy_rov= -0.67, T=21.44, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.42, exp=REG_T_ACC
AUTO_L_6: t=5.30, L= 108.76, est_dT_dL=   0.38, y_rov=-103.35, vy_rov= -0.67, T=21.40, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.30, exp=REG_T_ACC
AUTO_L_6: t=5.40, L= 108.66, est_dT_dL=   0.39, y_rov=-103.42, vy_rov= -0.67, T=21.36, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.20, exp=REG_T_ACC
AUTO_L_6: t=5.50, L= 108.56, est_dT_dL=   0.39, y_rov=-103.49, vy_rov= -0.67, T=21.32, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.11, exp=REG_T_ACC
AUTO_L_6: t=5.60, L= 108.46, est_dT_dL=   0.39, y_rov=-103.55, vy_rov= -0.67, T=21.28, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.03, exp=REG_T_ACC
AUTO_L_6: t=5.70, L= 108.36, est_dT_dL=   0.39, y_rov=-103.62, vy_rov= -0.67, T=21.24, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.96, exp=REG_T_ACC
AUTO_L_6: t=5.80, L= 108.26, est_dT_dL=   0.39, y_rov=-103.69, vy_rov= -0.67, T=21.21, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.89, exp=REG_T_ACC
AUTO_L_6: t=5.90, L= 108.16, est_dT_dL=   0.39, y_rov=-103.76, vy_rov= -0.67, T=21.17, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.83, exp=REG_T_ACC
AUTO_L_6: t=6.00, L= 108.06, est_dT_dL=   0.39, y_rov=-103.82, vy_rov= -0.67, T=21.13, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.78, exp=REG_T_ACC
AUTO_L_6: t=6.10, L= 107.96, est_dT_dL=   0.39, y_rov=-103.89, vy_rov= -0.67, T=21.09, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.74, exp=REG_T_ACC
AUTO_L_6: t=6.20, L= 107.86, est_dT_dL=   0.39, y_rov=-103.96, vy_rov= -0.67, T=21.05, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.75, exp=REG_T_ACC
AUTO_L_6: t=6.30, L= 107.76, est_dT_dL=   0.39, y_rov=-104.03, vy_rov= -0.67, T=21.01, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.78, exp=REG_T_ACC
AUTO_L_6: t=6.40, L= 107.66, est_dT_dL=   0.38, y_rov=-104.09, vy_rov= -0.67, T=20.98, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.82, exp=REG_T_ACC
AUTO_L_6: t=6.50, L= 107.56, est_dT_dL=   0.38, y_rov=-104.16, vy_rov= -0.67, T=20.94, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.88, exp=REG_T_ACC
AUTO_L_6: t=6.60, L= 107.46, est_dT_dL=   0.38, y_rov=-104.23, vy_rov= -0.67, T=20.90, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-20.98, exp=REG_T_ACC
AUTO_L_6: t=6.70, L= 107.36, est_dT_dL=   0.38, y_rov=-104.29, vy_rov= -0.67, T=20.87, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.11, exp=REG_T_ACC
AUTO_L_6: t=6.80, L= 107.26, est_dT_dL=   0.37, y_rov=-104.36, vy_rov= -0.67, T=20.83, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.31, exp=REG_T_ACC
AUTO_L_6: t=6.90, L= 107.16, est_dT_dL=   0.37, y_rov=-104.43, vy_rov= -0.67, T=20.80, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-21.61, exp=REG_T_ACC
AUTO_L_6: t=7.00, L= 107.06, est_dT_dL=   0.36, y_rov=-104.50, vy_rov= -0.67, T=20.77, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-22.08, exp=REG_T_ACC
AUTO_L_6: t=7.10, L= 106.96, est_dT_dL=   0.34, y_rov=-104.56, vy_rov= -0.67, T=20.75, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-22.91, exp=REG_T_ACC
AUTO_L_6: t=7.20, L= 106.86, est_dT_dL=   0.32, y_rov=-104.63, vy_rov= -0.67, T=20.73, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-24.61, exp=REG_T_ACC
AUTO_L_6: t=7.30, L= 106.76, est_dT_dL=   0.26, y_rov=-104.70, vy_rov= -0.67, T=20.75, prev_cmd= -1.00, ret1= -1.05, ret= -1.00, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired=-29.78, exp=REG_T_ACC
AUTO_L_6: t=7.40, L= 106.66, est_dT_dL=  -0.17, y_rov=-104.77, vy_rov= -0.67, T=21.15, prev_cmd= -1.00, ret1= -0.95, ret= -0.95, dL_dt= -1.00, dt=  0.10, Gamma=  0.50, desired= 46.72, exp=REG_T_ACC
AUTO_L_6: t=7.50, L= 106.56, est_dT_dL=   8.87, y_rov=-104.68, vy_rov=  0.91, T=12.12, prev_cmd= -0.95, ret1= -0.90, ret= -0.90, dL_dt= -0.95, dt=  0.10, Gamma=  0.50, desired= -0.40, exp=REG_T_ACC
AUTO_L_6: t=7.60, L= 106.47, est_dT_dL=  10.22, y_rov=-104.59, vy_rov=  0.88, T=10.83, prev_cmd= -0.90, ret1= -0.85, ret= -0.85, dL_dt= -0.90, dt=  0.10, Gamma=  0.50, desired= -0.29, exp=REG_T_ACC
AUTO_L_6: t=7.70, L= 106.39, est_dT_dL=  10.52, y_rov=-104.50, vy_rov=  0.83, T=10.66, prev_cmd= -0.85, ret1= -0.80, ret= -0.80, dL_dt= -0.85, dt=  0.10, Gamma=  0.50, desired= -0.27, exp=REG_T_ACC
AUTO_L_6: t=7.80, L= 106.31, est_dT_dL=  10.74, y_rov=-104.43, vy_rov=  0.78, T=10.63, prev_cmd= -0.80, ret1= -0.75, ret= -0.75, dL_dt= -0.80, dt=  0.10, Gamma=  0.50, desired= -0.26, exp=REG_T_ACC
AUTO_L_6: t=7.90, L= 106.23, est_dT_dL=  10.99, y_rov=-104.35, vy_rov=  0.73, T=10.63, prev_cmd= -0.75, ret1= -0.70, ret= -0.70, dL_dt= -0.75, dt=  0.10, Gamma=  0.50, desired= -0.26, exp=REG_T_ACC
AUTO_L_6: t=8.00, L= 106.16, est_dT_dL=  11.33, y_rov=-104.28, vy_rov=  0.68, T=10.63, prev_cmd= -0.70, ret1= -0.66, ret= -0.66, dL_dt= -0.70, dt=  0.10, Gamma=  0.50, desired= -0.25, exp=REG_T_ACC
AUTO_L_6: t=8.10, L= 106.10, est_dT_dL=  11.75, y_rov=-104.22, vy_rov=  0.64, T=10.63, prev_cmd= -0.66, ret1= -0.61, ret= -0.61, dL_dt= -0.66, dt=  0.10, Gamma=  0.50, desired= -0.24, exp=REG_T_ACC
AUTO_L_6: t=8.20, L= 106.04, est_dT_dL=  12.28, y_rov=-104.16, vy_rov=  0.59, T=10.64, prev_cmd= -0.61, ret1= -0.58, ret= -0.58, dL_dt= -0.61, dt=  0.10, Gamma=  0.50, desired= -0.23, exp=REG_T_ACC
AUTO_L_6: t=8.30, L= 105.98, est_dT_dL=  12.97, y_rov=-104.11, vy_rov=  0.56, T=10.64, prev_cmd= -0.58, ret1= -0.54, ret= -0.54, dL_dt= -0.58, dt=  0.10, Gamma=  0.50, desired= -0.22, exp=REG_T_ACC
AUTO_L_6: t=8.40, L= 105.92, est_dT_dL=  14.31, y_rov=-104.05, vy_rov=  0.52, T=10.65, prev_cmd= -0.54, ret1= -0.51, ret= -0.51, dL_dt= -0.54, dt=  0.10, Gamma=  0.50, desired= -0.20, exp=REG_T_ACC
AUTO_L_6: t=8.50, L= 105.87, est_dT_dL=   2.12, y_rov=-104.01, vy_rov=  0.48, T=10.66, prev_cmd= -0.51, ret1= -0.56, ret= -0.56, dL_dt= -0.51, dt=  0.10, Gamma=  0.50, desired= -1.34, exp=REG_T_ACC
AUTO_L_6: t=8.60, L= 105.82, est_dT_dL=   0.25, y_rov=-103.95, vy_rov=  0.53, T=10.67, prev_cmd= -0.56, ret1= -0.61, ret= -0.61, dL_dt= -0.56, dt=  0.10, Gamma=  0.50, desired=-11.35, exp=REG_T_ACC
AUTO_L_6: t=8.70, L= 105.76, est_dT_dL=  -0.04, y_rov=-103.89, vy_rov=  0.58, T=10.68, prev_cmd= -0.61, ret1= -0.56, ret= -0.56, dL_dt= -0.61, dt=  0.10, Gamma=  0.50, desired= 75.85, exp=REG_T_ACC
AUTO_L_6: t=8.80, L= 105.70, est_dT_dL=  -0.10, y_rov=-103.84, vy_rov=  0.53, T=10.70, prev_cmd= -0.56, ret1= -0.51, ret= -0.51, dL_dt= -0.56, dt=  0.10, Gamma=  0.50, desired= 27.71, exp=REG_T_ACC
AUTO_L_6: t=8.90, L= 105.65, est_dT_dL=  -0.14, y_rov=-103.79, vy_rov=  0.48, T=10.71, prev_cmd= -0.51, ret1= -0.46, ret= -0.46, dL_dt= -0.51, dt=  0.10, Gamma=  0.50, desired= 20.45, exp=REG_T_ACC
AUTO_L_6: t=9.00, L= 105.61, est_dT_dL=  -0.18, y_rov=-103.75, vy_rov=  0.43, T=10.73, prev_cmd= -0.46, ret1= -0.41, ret= -0.41, dL_dt= -0.46, dt=  0.10, Gamma=  0.50, desired= 16.15, exp=REG_T_ACC
AUTO_L_6: t=9.10, L= 105.57, est_dT_dL=  -0.22, y_rov=-103.71, vy_rov=  0.38, T=10.75, prev_cmd= -0.41, ret1= -0.36, ret= -0.36, dL_dt= -0.41, dt=  0.10, Gamma=  0.50, desired= 13.20, exp=REG_T_ACC
AUTO_L_6: t=9.20, L= 105.53, est_dT_dL=  -0.26, y_rov=-103.68, vy_rov=  0.33, T=10.77, prev_cmd= -0.36, ret1= -0.31, ret= -0.31, dL_dt= -0.36, dt=  0.10, Gamma=  0.50, desired= 11.07, exp=REG_T_ACC
AUTO_L_6: t=9.30, L= 105.50, est_dT_dL=  -0.31, y_rov=-103.65, vy_rov=  0.28, T=10.79, prev_cmd= -0.31, ret1= -0.26, ret= -0.26, dL_dt= -0.31, dt=  0.10, Gamma=  0.50, desired=  9.38, exp=REG_T_ACC
AUTO_L_6: t=9.40, L= 105.47, est_dT_dL=  -0.36, y_rov=-103.63, vy_rov=  0.23, T=10.81, prev_cmd= -0.26, ret1= -0.21, ret= -0.21, dL_dt= -0.26, dt=  0.10, Gamma=  0.50, desired=  8.07, exp=REG_T_ACC
AUTO_L_6: t=9.50, L= 105.45, est_dT_dL=  -0.42, y_rov=-103.61, vy_rov=  0.18, T=10.83, prev_cmd= -0.21, ret1= -0.16, ret= -0.16, dL_dt= -0.21, dt=  0.10, Gamma=  0.50, desired=  7.01, exp=REG_T_ACC
AUTO_L_6: t=9.60, L= 105.44, est_dT_dL=  -0.49, y_rov=-103.59, vy_rov=  0.13, T=10.86, prev_cmd= -0.16, ret1= -0.11, ret= -0.11, dL_dt= -0.16, dt=  0.10, Gamma=  0.50, desired=  5.99, exp=REG_T_ACC
AUTO_L_6: t=9.70, L= 105.43, est_dT_dL=  -0.59, y_rov=-103.59, vy_rov=  0.08, T=10.88, prev_cmd= -0.11, ret1= -0.06, ret= -0.06, dL_dt= -0.11, dt=  0.10, Gamma=  0.50, desired=  4.98, exp=REG_T_ACC
